Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
0610005C13Rik	current symbol	MGI:1918911	0610005C13Rik	RIKEN cDNA 0610005C13 gene	lncRNA gene
0610007N19Rik	old symbol	MGI:1914085	Snhg18	small nucleolar RNA host gene 18	lncRNA gene
0610008F07Rik	old symbol	MGI:1915564	Hnf4aos	hepatic nuclear factor 4 alpha, opposite strand	antisense lncRNA gene
0610009B14Rik	old symbol	MGI:1915604	Plekhd1os	pleckstrin homology domain containing, family D (with coiled-coil domains) member 1, opposite strand	antisense lncRNA gene
0610009L18Rik	current symbol	MGI:1914088	0610009L18Rik	RIKEN cDNA 0610009L18 gene	lncRNA gene
0610012G03Rik	current symbol	MGI:1913301	0610012G03Rik	RIKEN cDNA 0610012G03 gene	protein coding gene
0610031O16Rik	current symbol	MGI:1915619	0610031O16Rik	RIKEN cDNA 0610031O16 gene	lncRNA gene
0610038B21Rik	current symbol	MGI:1917595	0610038B21Rik	RIKEN cDNA 0610038B21 gene	lncRNA gene
0610038L08Rik	old symbol	MGI:1921342	Tbc1d22bos	TBC1 domain family, member 22B, opposite strand	antisense lncRNA gene
0610040B10Rik	current symbol	MGI:1914922	0610040B10Rik	RIKEN cDNA 0610040B10 gene	lncRNA gene
0610040F04Rik	current symbol	MGI:1922644	0610040F04Rik	RIKEN cDNA 0610040F04 gene	lncRNA gene
0610040F04Rik:copy2		No associated gene			
0610043K17Rik	current symbol	MGI:1915650	0610043K17Rik	RIKEN cDNA 0610043K17 gene	lncRNA gene
1110002L01Rik	current symbol	MGI:1915821	1110002L01Rik	RIKEN cDNA 1110002L01 gene	lncRNA gene
1110006O24Rik	current symbol	MGI:1913373	1110006O24Rik	RIKEN cDNA 1110006O24 gene	lncRNA gene
1110015O18Rik	current symbol	MGI:1915766	1110015O18Rik	RIKEN cDNA 1110015O18 gene	lncRNA gene
1110019D14Rik	current symbol	MGI:1923561	1110019D14Rik	RIKEN cDNA 1110019D14 gene	lncRNA gene
1110020A21Rik	current symbol	MGI:1915781	1110020A21Rik	RIKEN cDNA 1110020A21 gene	lncRNA gene
1110028F11Rik	current symbol	MGI:1915940	1110028F11Rik	RIKEN cDNA 1110028F11 gene	lncRNA gene
1110035M17Rik	old symbol	MGI:3044900	Zfp652os	zinc finger protein 652, opposite strand	antisense lncRNA gene
1110046J04Rik	current symbol	MGI:1916058	1110046J04Rik	RIKEN cDNA 1110046J04 gene	lncRNA gene
1110054M08Rik	old symbol	MGI:1916091	Lppos	LIM domain containing preferred translocation partner in lipoma, opposite strand	lncRNA gene
1190002F15Rik	old symbol	MGI:1915081	Lockd	lncRNA downstream of Cdkn1b	lncRNA gene
1300002E11Rik	current symbol	MGI:1919001	1300002E11Rik	RIKEN cDNA 1300002E11 gene	lncRNA gene
1300015D01Rik	old symbol	MGI:1921411	Ctcflos	CCCTC-binding factor (zinc finger protein)-like, opposite strand	antisense lncRNA gene
1500002O10Rik	old symbol	MGI:1916236	Gad1os	glutamate decarboxylase 1, opposite strand	antisense lncRNA gene
1500004A13Rik	current symbol	MGI:2442808	1500004A13Rik	RIKEN cDNA 1500004A13 gene	lncRNA gene
1500009C09Rik	old symbol	MGI:1923755	Smim45	small integral membrane protein 45	protein coding gene
1500011B03Rik	current symbol	MGI:1913486	1500011B03Rik	RIKEN cDNA 1500011B03 gene	protein coding gene
1500012K07Rik	current symbol	MGI:1916204	1500012K07Rik	RIKEN cDNA 1500012K07 gene	lncRNA gene
1500015A07Rik	current symbol	MGI:1916232	1500015A07Rik	RIKEN cDNA 1500015A07 gene	lncRNA gene
1500015L24Rik	current symbol	MGI:1916244	1500015L24Rik	RIKEN cDNA 1500015L24 gene	lncRNA gene
1500016L03Rik	old symbol	MGI:1925615	Lhx1os	LIM homeobox 1, opposite strand	lncRNA gene
1500017E21Rik	old symbol	MGI:1919243	Hectd2os	Hectd2, opposite strand	antisense lncRNA gene
1600002D24Rik	current symbol	MGI:1917026	1600002D24Rik	RIKEN cDNA 1600002D24 gene	lncRNA gene
1600002D24Rik:copy2		No associated gene			
1600010M07Rik	current symbol	MGI:1917031	1600010M07Rik	RIKEN cDNA 1600010M07 gene	lncRNA gene
1600020E01Rik	current symbol	MGI:1919262	1600020E01Rik	RIKEN cDNA 1600020E01 gene	lncRNA gene
1600029I14Rik	current symbol	MGI:1917047	1600029I14Rik	RIKEN cDNA 1600029I14 gene	lncRNA gene
1700001D01Rik	current symbol	MGI:1916529	1700001D01Rik	RIKEN cDNA 1700001D01 gene	lncRNA gene
1700001G17Rik	current symbol	MGI:1914753	1700001G17Rik	RIKEN cDNA 1700001G17 gene	lncRNA gene
1700001K23Rik	current symbol	MGI:1916569	1700001K23Rik	RIKEN cDNA 1700001K23 gene	lncRNA gene
1700001L05Rik	current symbol	MGI:1916541	1700001L05Rik	RIKEN cDNA 1700001L05 gene	lncRNA gene
1700003C15Rik	current symbol	MGI:1916595	1700003C15Rik	RIKEN cDNA 1700003C15 gene	lncRNA gene
1700003D09Rik	current symbol	MGI:1916588	1700003D09Rik	RIKEN cDNA 1700003D09 gene	lncRNA gene
1700003F17Rik	old symbol	MGI:1923642	Slfn5os	schlafen 5, opposite strand	antisense lncRNA gene
1700003G18Rik	current symbol	MGI:1916600	1700003G18Rik	RIKEN cDNA 1700003G18 gene	lncRNA gene
1700003H04Rik	current symbol	MGI:1923637	1700003H04Rik	RIKEN cDNA 1700003H04 gene	protein coding gene
1700003L19Rik	current symbol	MGI:1922743	1700003L19Rik	RIKEN cDNA 1700003L19 gene	lncRNA gene
1700003M07Rik	current symbol	MGI:1919475	1700003M07Rik	RIKEN cDNA 1700003M07 gene	lncRNA gene
1700003P14Rik	current symbol	MGI:1916594	1700003P14Rik	RIKEN cDNA 1700003P14 gene	lncRNA gene
1700006H21Rik	current symbol	MGI:1919507	1700006H21Rik	RIKEN cDNA 1700006H21 gene	lncRNA gene
1700007F19Rik	current symbol	MGI:1915100	1700007F19Rik	RIKEN cDNA 1700007F19 gene	lncRNA gene
1700007J10Rik	current symbol	MGI:1916570	1700007J10Rik	RIKEN cDNA 1700007J10 gene	lncRNA gene
1700007L15Rik	current symbol	MGI:1916581	1700007L15Rik	RIKEN cDNA 1700007L15 gene	lncRNA gene
1700008J07Rik	current symbol	MGI:1916610	1700008J07Rik	RIKEN cDNA 1700008J07 gene	lncRNA gene
1700008K24Rik	current symbol	MGI:1916561	1700008K24Rik	RIKEN cDNA 1700008K24 gene	lncRNA gene
1700009C05Rik	current symbol	MGI:1921470	1700009C05Rik	RIKEN cDNA 1700009C05 gene	lncRNA gene
1700010I02Rik	current symbol	MGI:1922726	1700010I02Rik	RIKEN cDNA 1700010I02 gene	lncRNA gene
1700010J16Rik	current symbol	MGI:1916605	1700010J16Rik	RIKEN cDNA 1700010J16 gene	lncRNA gene
1700010K23Rik	current symbol	MGI:1922751	1700010K23Rik	RIKEN cDNA 1700010K23 gene	lncRNA gene
1700011J10Rik	old symbol	MGI:1914936	Sp3os	trans-acting transcription factor 3, opposite strand	antisense lncRNA gene
1700011M02Rik	current symbol	MGI:1922693	1700011M02Rik	RIKEN cDNA 1700011M02 gene	protein coding gene
1700012B15Rik	old symbol	MGI:1921423	Rab10os	RAB10, member RAS oncogene family, opposite strand	antisense lncRNA gene
1700012D14Rik	old symbol	MGI:1922729	Zbed5-ps	zinc finger, BED type containing 5, pseudogene	pseudogene
1700012I11Rik	current symbol	MGI:1916584	1700012I11Rik	RIKEN cDNA 1700012I11 gene	lncRNA gene
1700016L04Rik	current symbol	MGI:1916662	1700016L04Rik	RIKEN cDNA 1700016L04 gene	lncRNA gene
1700016L21Rik	current symbol	MGI:1919458	1700016L21Rik	RIKEN cDNA 1700016L21 gene	lncRNA gene
1700017G19Rik	current symbol	MGI:1919477	1700017G19Rik	RIKEN cDNA 1700017G19 gene	lncRNA gene
1700017J07Rik	current symbol	MGI:1922758	1700017J07Rik	RIKEN cDNA 1700017J07 gene	lncRNA gene
1700018A04Rik	current symbol	MGI:1916631	1700018A04Rik	RIKEN cDNA 1700018A04 gene	lncRNA gene
1700019B21Rik	old symbol	MGI:1922795	Tslrn1	testis specific long noncoding RNA 1	lncRNA gene
1700019G24Rik	current symbol	MGI:1919499	1700019G24Rik	RIKEN cDNA 1700019G24 gene	lncRNA gene
1700020G17Rik	current symbol	MGI:1922880	1700020G17Rik	RIKEN cDNA 1700020G17 gene	lncRNA gene
1700020I14Rik	old symbol	MGI:1913852	Oip5os1	Opa interacting protein 5, opposite strand 1	lncRNA gene
1700020N01Rik	current symbol	MGI:1914942	1700020N01Rik	RIKEN cDNA 1700020N01 gene	protein coding gene
1700022A21Rik	current symbol	MGI:1919502	1700022A21Rik	RIKEN cDNA 1700022A21 gene	pseudogene
1700022A22Rik	current symbol	MGI:1922807	1700022A22Rik	RIKEN cDNA 1700022A22 gene	lncRNA gene
1700023C21Rik	current symbol	MGI:1920507	1700023C21Rik	RIKEN cDNA 1700023C21 gene	lncRNA gene
1700023L04Rik	old symbol	MGI:1923669	Smkr-ps	smal lysine rich protein 1, pseudogene	pseudogene
1700024B18Rik	current symbol	MGI:1916643	1700024B18Rik	RIKEN cDNA 1700024B18 gene	lncRNA gene
1700024F13Rik	old symbol	MGI:1924187	2810429I04Rik	RIKEN cDNA 2810429I04 gene	lncRNA gene
1700024P03Rik	old symbol	MGI:1922767	Ccdc34os	coiled-coil domain containing 34, opposite strand	antisense lncRNA gene
1700025C18Rik	current symbol	MGI:1919461	1700025C18Rik	RIKEN cDNA 1700025C18 gene	protein coding gene
1700025F24Rik	current symbol	MGI:1914331	1700025F24Rik	RIKEN cDNA 1700025F24 gene	lncRNA gene
1700025K24Rik	current symbol	MGI:1916668	1700025K24Rik	RIKEN cDNA 1700025K24 gene	lncRNA gene
1700025M24Rik	current symbol	MGI:1919526	1700025M24Rik	RIKEN cDNA 1700025M24 gene	lncRNA gene
1700026D11Rik	current symbol	MGI:1917621	1700026D11Rik	RIKEN cDNA 1700026D11 gene	lncRNA gene
1700026F02Rik	current symbol	MGI:1916669	1700026F02Rik	RIKEN cDNA 1700026F02 gene	lncRNA gene
1700027A15Rik	current symbol	MGI:1916699	1700027A15Rik	RIKEN cDNA 1700027A15 gene	lncRNA gene
1700027F09Rik	current symbol	MGI:1917249	1700027F09Rik	RIKEN cDNA 1700027F09 gene	lncRNA gene
1700027H10Rik	current symbol	MGI:1919524	1700027H10Rik	RIKEN cDNA 1700027H10 gene	lncRNA gene
1700027I24Rik	current symbol	MGI:1922817	1700027I24Rik	RIKEN cDNA 1700027I24 gene	lncRNA gene
1700027J07Rik	current symbol	MGI:1916693	1700027J07Rik	RIKEN cDNA 1700027J07 gene	lncRNA gene
1700028E10Rik	current symbol	MGI:1916713	1700028E10Rik	RIKEN cDNA 1700028E10 gene	lncRNA gene
1700028I16Rik	current symbol	MGI:1917253	1700028I16Rik	RIKEN cDNA 1700028I16 gene	lncRNA gene
1700028J19Rik	current symbol	MGI:1917254	1700028J19Rik	RIKEN cDNA 1700028J19 gene	protein coding gene
1700028M03Rik	current symbol	MGI:1916710	1700028M03Rik	RIKEN cDNA 1700028M03 gene	lncRNA gene
1700028P15Rik	current symbol	MGI:1922905	1700028P15Rik	RIKEN cDNA 1700028P15 gene	lncRNA gene
1700029B22Rik	current symbol	MGI:1916745	1700029B22Rik	RIKEN cDNA 1700029B22 gene	lncRNA gene
1700029J03Rik	current symbol	MGI:1919514	1700029J03Rik	RIKEN cDNA 1700029J03 gene	lncRNA gene
1700029N11Rik	current symbol	MGI:1916741	1700029N11Rik	RIKEN cDNA 1700029N11 gene	lncRNA gene
1700030A11Rik	current symbol	MGI:1921429	1700030A11Rik	RIKEN cDNA 1700030A11 gene	lncRNA gene
1700030C10Rik	current symbol	MGI:1916763	1700030C10Rik	RIKEN cDNA 1700030C10 gene	lncRNA gene
1700030F04Rik	current symbol	MGI:1919513	1700030F04Rik	RIKEN cDNA 1700030F04 gene	lncRNA gene
1700030N03Rik	current symbol	MGI:1917261	1700030N03Rik	RIKEN cDNA 1700030N03 gene	lncRNA gene
1700031A10Rik	current symbol	MGI:1920536	1700031A10Rik	RIKEN cDNA 1700031A10 gene	lncRNA gene
1700031M16Rik	current symbol	MGI:1920552	1700031M16Rik	RIKEN cDNA 1700031M16 gene	lncRNA gene
1700034G24Rik	current symbol	MGI:1914575	1700034G24Rik	RIKEN cDNA 1700034G24 gene	lncRNA gene
1700034H15Rik	current symbol	MGI:1921515	1700034H15Rik	RIKEN cDNA 1700034H15 gene	lncRNA gene
1700034K08Rik	current symbol	MGI:1925599	1700034K08Rik	RIKEN cDNA 1700034K08 gene	lncRNA gene
1700034P13Rik	current symbol	MGI:1920581	1700034P13Rik	RIKEN cDNA 1700034P13 gene	lncRNA gene
1700036G14Rik	current symbol	MGI:1920533	1700036G14Rik	RIKEN cDNA 1700036G14 gene	lncRNA gene
1700039E22Rik	current symbol	MGI:1920572	1700039E22Rik	RIKEN cDNA 1700039E22 gene	lncRNA gene
1700040N02Rik	old symbol	MGI:1920553	Bcas1os2	brain enriched myelin associated protein 1, opposite strand 2	antisense lncRNA gene
1700041C23Rik	current symbol	MGI:1914569	1700041C23Rik	RIKEN cDNA 1700041C23 gene	lncRNA gene
1700041M19Rik	current symbol	MGI:1923851	1700041M19Rik	RIKEN cDNA 1700041M19 gene	lncRNA gene
1700042G15Rik	current symbol	MGI:1920599	1700042G15Rik	RIKEN cDNA 1700042G15 gene	lncRNA gene
1700042O10Rik	current symbol	MGI:1920571	1700042O10Rik	RIKEN cDNA 1700042O10 gene	lncRNA gene
