"","x"
"1","NM_007868"
"2","NM_001291234"
"3","NM_011578"
"4","NM_145534"
"5","NM_001048227"
"6","NM_023742"
"7","NM_001163024"
"8","NM_008555"
"9","NM_028335"
"10","NM_019388"
"11","NM_021296"
"12","NM_001172069"
"13","NM_009041"
"14","NM_001288625"
"15","NM_001136086"
"16","NM_001252525"
"17","NM_008796"
"18","NM_139298"
"19","NM_033354"
"20","NM_001288626"
"21","NM_001286221"
"22","NM_011294"
"23","NM_007658"
"24","NM_011854"
"25","NM_001289582"
"26","NM_013790"
"27","NM_010269"
"28","NM_183138"
"29","NM_008325"
"30","NM_029457"
"31","NM_001282109"
"32","NM_009963"
"33","NM_001005506"
"34","NM_153395"
"35","NM_011934"
"36","NM_010349"
"37","NM_018757"
"38","NM_001302802"
"39","NM_027418"
"40","NM_026194"
"41","NM_010613"
"42","NM_177894"
"43","NM_175937"
"44","NM_001039039"
"45","NM_011990"
"46","NM_015774"
"47","NM_024270"
"48","NM_170756"
"49","NM_153092"
"50","NM_001039081"
"51","NM_001289839"
"52","NM_029736"
"53","NM_001291050"
"54","NM_175236"
"55","NM_153552"
"56","NM_001282443"
"57","NM_172284"
"58","NM_001104616"
"59","NM_008766"
"60","NM_201395"
"61","NM_013526"
"62","NM_153178"
"63","NM_018743"
"64","NM_001025581"
"65","NM_016660"
"66","NM_001276443"
"67","NM_001112698"
"68","NM_001002846"
"69","NM_133840"
"70","NM_001252560"
"71","NM_007916"
"72","NM_001014974"
"73","NM_001134480"
"74","NM_001302393"
"75","NM_139272"
"76","NM_007457"
"77","NM_001317174"
"78","NM_001081183"
"79","NM_001326566"
"80","NM_001310585"
"81","NM_001199234"
"82","NM_027626"
"83","NM_173753"
"84","NM_001024927"
"85","NM_007975"
"86","NM_053103"
"87","NM_018793"
"88","NM_001290476"
"89","NM_001081206"
"90","NM_001110140"
"91","NM_011610"
"92","NM_001042752"
"93","NM_001284503"
"94","NM_172266"
"95","NM_029148"
"96","NM_027491"
"97","NM_010548"
"98","NM_001282061"
"99","NM_001190800"
"100","NM_001286370"
"101","NM_175465"
"102","NM_001109973"
"103","NM_010467"
"104","NM_001038993"
"105","NM_001205243"
"106","NM_153089"
"107","NM_198899"
"108","NM_001291910"
"109","NM_025819"
"110","NM_001252202"
"111","NM_022327"
"112","NM_010456"
"113","NM_133792"
"114","NM_011354"
"115","NM_025718"
"116","NM_028800"
"117","NM_134082"
"118","NM_146001"
"119","NM_026240"
"120","NM_001312869"
"121","NM_001304559"
"122","NM_015747"
"123","NM_172524"
"124","NM_001134465"
"125","NM_010718"
"126","NM_001200002"
"127","NM_013609"
"128","NM_011214"
"129","NM_172691"
"130","NM_133832"
"131","NM_172861"
"132","NM_026485"
"133","NM_001286530"
"134","NM_001142655"
"135","NM_001311061"
"136","NM_021362"
"137","NM_007520"
"138","NM_025807"
"139","NM_153384"
"140","NM_175433"
"141","NM_017375"
"142","NM_177306"
"143","NM_001163566"
"144","NM_001289672"
"145","NM_001243161"
"146","NM_001289568"
"147","NM_181421"
"148","NM_001110830"
"149","NM_001311076"
"150","NM_138677"
"151","NM_001167745"
"152","NM_001039388"
"153","NM_001165948"
"154","NM_134170"
"155","NM_178654"
"156","NM_001289856"
"157","NM_183142"
"158","NM_144825"
"159","NM_001310478"
"160","NM_001080930"
"161","NM_001277239"
"162","NM_027298"
"163","NM_174874"
"164","NM_001033275"
"165","NM_001290993"
"166","NM_001267710"
"167","NM_172683"
"168","NM_001277989"
"169","NM_145833"
"170","NM_145377"
"171","NM_138667"
"172","NM_025562"
"173","NM_001161745"
"174","NM_011537"
"175","NM_019460"
"176","NM_172993"
"177","NM_028475"
"178","NM_001286601"
"179","NM_001134829"
"180","NM_172876"
"181","NM_001204167"
"182","NM_001160410"
"183","NM_001290124"
"184","NM_001038710"
"185","NM_001291104"
"186","NM_027182"
"187","NM_177162"
"188","NM_001276391"
"189","NM_133712"
"190","NM_001290576"
